Timestamp,JoystickID,EventType
2025-03-26 14:49:32.411,1,Joystick #1 axis 1 -> 14581
2025-03-26 14:49:32.458,1,Joystick #1 axis 0 -> -30494
2025-03-26 14:49:32.501,1,Joystick #1 axis 0 -> -30462
2025-03-26 14:49:32.926,1,Joystick #1 axis 0 -> 535
2025-03-26 14:49:32.968,1,Joystick #1 axis 0 -> 14418
2025-03-26 14:49:33.010,1,Joystick #1 axis 1 -> 10761
2025-03-26 14:49:33.050,1,Joystick #1 axis 0 -> 31570
2025-03-26 14:49:33.090,1,Joystick #1 axis 0 -> 29824
2025-03-26 14:49:33.130,1,Joystick #1 axis 0 -> 28547
2025-03-26 14:49:33.169,1,Joystick #1 axis 0 -> 4703
2025-03-26 14:49:33.825,1,Joystick #1 axis 0 -> 371
2025-03-26 14:49:33.866,1,Joystick #1 axis 0 -> 13190
2025-03-26 14:49:33.905,1,Joystick #1 axis 0 -> 32104
2025-03-26 14:49:33.947,1,Joystick #1 axis 1 -> 14010
2025-03-26 14:49:33.987,1,Joystick #1 axis 1 -> 14170
2025-03-26 14:49:34.027,1,Joystick #1 axis 0 -> 5738
2025-03-26 14:49:34.692,1,Joystick #1 axis 0 -> 419
2025-03-26 14:49:34.732,1,Joystick #1 axis 0 -> 7629
2025-03-26 14:49:34.779,1,Joystick #1 axis 1 -> 22038
2025-03-26 14:49:34.824,1,Joystick #1 axis 0 -> 29436
2025-03-26 14:49:34.899,1,Joystick #1 axis 1 -> 22221
2025-03-26 14:49:34.940,1,Joystick #1 axis 0 -> 29760
2025-03-26 14:49:34.979,1,Joystick #1 axis 0 -> 7516
2025-03-26 14:49:35.675,1,Joystick #1 axis 0 -> 484
2025-03-26 14:49:35.715,1,Joystick #1 axis 0 -> 32104
2025-03-26 14:49:35.756,1,Joystick #1 axis 1 -> 18630
2025-03-26 14:49:35.798,1,Joystick #1 axis 0 -> 30519
2025-03-26 14:49:35.839,1,Joystick #1 axis 0 -> 29873
2025-03-26 14:49:35.880,1,Joystick #1 axis 0 -> 26494
2025-03-26 14:49:35.920,1,Joystick #1 axis 0 -> 9181
2025-03-26 14:49:35.963,1,Joystick #1 axis 0 -> 26430
2025-03-26 14:49:36.004,1,Joystick #1 axis 1 -> 29747
2025-03-26 14:49:36.047,1,Joystick #1 axis 0 -> 26559
2025-03-26 14:49:36.087,1,Joystick #1 axis 0 -> 26527
2025-03-26 14:49:36.127,1,Joystick #1 axis 1 -> 28855
2025-03-26 14:49:36.167,1,Joystick #1 axis 0 -> 26268
2025-03-26 14:49:36.206,1,Joystick #1 axis 0 -> 25880
2025-03-26 14:49:36.248,1,Joystick #1 axis 0 -> 25735
2025-03-26 14:49:36.288,1,Joystick #1 axis 0 -> 25541
2025-03-26 14:49:36.323,1,Joystick #1 button 7 -> PRESSED
2025-03-26 14:49:36.328,1,Joystick #1 axis 0 -> 25120
2025-03-26 14:49:36.412,1,Joystick #1 axis 0 -> 24765
2025-03-26 14:49:36.458,1,Joystick #1 axis 1 -> 31691
2025-03-26 14:49:36.501,1,Joystick #1 axis 0 -> 24668
2025-03-26 14:49:36.545,1,Joystick #1 axis 1 -> 31646
2025-03-26 14:49:36.622,1,Joystick #1 axis 0 -> 24732
2025-03-26 14:49:36.664,1,Joystick #1 axis 0 -> 24748
2025-03-26 14:49:36.709,1,Joystick #1 axis 0 -> 24797
2025-03-26 14:49:36.754,1,Joystick #1 axis 0 -> 24781
2025-03-26 14:49:36.804,1,Joystick #1 axis 0 -> 24797
2025-03-26 14:49:36.851,1,Joystick #1 axis 1 -> 31371
2025-03-26 14:49:36.881,1,Joystick #1 button 7 -> RELEASED
2025-03-26 14:49:36.894,1,Joystick #1 axis 0 -> 24926
2025-03-26 14:49:36.935,1,Joystick #1 axis 0 -> 25088
2025-03-26 14:49:36.976,1,Joystick #1 axis 1 -> 30822
2025-03-26 14:49:37.017,1,Joystick #1 axis 0 -> 25815
2025-03-26 14:49:37.058,1,Joystick #1 axis 0 -> 26365
2025-03-26 14:49:37.098,1,Joystick #1 axis 0 -> 27820
2025-03-26 14:49:37.150,1,Joystick #1 axis 1 -> 21238
2025-03-26 14:49:37.192,1,Joystick #1 axis 1 -> 21672
2025-03-26 14:49:37.232,1,Joystick #1 axis 0 -> 26122
2025-03-26 14:49:37.272,1,Joystick #1 axis 0 -> 17425
2025-03-26 14:49:37.673,1,Joystick #1 axis 0 -> 484
2025-03-26 14:49:37.714,1,Joystick #1 axis 1 -> 17441
2025-03-26 14:49:37.755,1,Joystick #1 axis 0 -> 31845
2025-03-26 14:49:37.795,1,Joystick #1 axis 0 -> 32185
2025-03-26 14:49:37.836,1,Joystick #1 axis 1 -> 11562
2025-03-26 14:49:37.879,1,Joystick #1 axis 1 -> 11173
