Timestamp,JoystickID,EventType
2025-03-26 14:27:06.906,0,Please plug in a joystick.
2025-03-26 14:27:07.250,1,Joystick #1 ('Nintendo Switch Pro Controller') added
2025-03-26 14:27:30.454,1,Joystick #1 axis 4 -> -32768
2025-03-26 14:27:30.496,1,Joystick #1 axis 4 -> -32768
2025-03-26 14:27:31.200,1,Joystick #1 axis 5 -> -32768
2025-03-26 14:27:31.258,1,Joystick #1 axis 5 -> -32768
2025-03-26 14:27:32.835,1,Joystick #1 axis 5 -> 32767
2025-03-26 14:27:32.921,1,Joystick #1 axis 5 -> -32768
2025-03-26 14:27:33.030,1,Joystick #1 axis 5 -> -32768
2025-03-26 14:27:33.256,1,Joystick #1 axis 5 -> 32767
2025-03-26 14:27:33.555,1,Joystick #1 axis 5 -> -32768
2025-03-26 14:27:33.817,1,Joystick #1 axis 5 -> 32767
2025-03-26 14:27:34.704,1,Joystick #1 axis 5 -> -32768
2025-03-26 14:27:35.796,1,Joystick #1 axis 5 -> 32767
2025-03-26 14:27:36.412,1,Joystick #1 axis 5 -> -32768
2025-03-26 14:27:36.672,1,Joystick #1 axis 5 -> 32767
2025-03-26 14:27:37.150,1,Joystick #1 axis 5 -> -32768
2025-03-26 14:27:37.338,1,Joystick #1 axis 5 -> 32767
2025-03-26 14:27:37.602,1,Joystick #1 axis 5 -> -32768
2025-03-26 14:27:38.854,1,Joystick #1 axis 5 -> 32767
2025-03-26 14:27:38.931,1,Joystick #1 axis 5 -> -32768
2025-03-26 14:27:39.302,1,Joystick #1 axis 5 -> -32768
2025-03-26 14:27:39.897,1,Joystick #1 axis 5 -> 32767
2025-03-26 14:27:42.093,1,Joystick #1 axis 1 -> -11
2025-03-26 14:27:42.133,1,Joystick #1 axis 0 -> 1017
2025-03-26 14:27:42.174,1,Joystick #1 axis 0 -> 2115
2025-03-26 14:27:42.214,1,Joystick #1 axis 0 -> 1429
2025-03-26 14:27:42.254,1,Joystick #1 axis 0 -> 102
2025-03-26 14:27:42.293,1,Joystick #1 axis 0 -> 1886
2025-03-26 14:27:42.390,1,Joystick #1 axis 0 -> 2870
2025-03-26 14:27:42.433,1,Joystick #1 axis 0 -> 2549
2025-03-26 14:27:42.478,1,Joystick #1 axis 0 -> 2435
2025-03-26 14:27:42.534,1,Joystick #1 axis 0 -> 2504
2025-03-26 14:27:42.574,1,Joystick #1 axis 0 -> 4677
2025-03-26 14:27:42.614,1,Joystick #1 axis 0 -> 8360
2025-03-26 14:27:42.654,1,Joystick #1 axis 0 -> 11814
2025-03-26 14:27:42.695,1,Joystick #1 axis 0 -> 12408
2025-03-26 14:27:42.742,1,Joystick #1 axis 0 -> 12340
2025-03-26 14:27:42.782,1,Joystick #1 axis 0 -> 10739
2025-03-26 14:27:42.842,1,Joystick #1 axis 0 -> 10533
2025-03-26 14:27:42.883,1,Joystick #1 axis 0 -> 16434
2025-03-26 14:27:42.925,1,Joystick #1 axis 0 -> 20597
2025-03-26 14:27:42.965,1,Joystick #1 axis 0 -> 21993
2025-03-26 14:27:43.005,1,Joystick #1 axis 0 -> 25492
2025-03-26 14:27:43.045,1,Joystick #1 axis 0 -> 27986
2025-03-26 14:27:43.085,1,Joystick #1 axis 0 -> 27894
2025-03-26 14:27:43.125,1,Joystick #1 axis 0 -> 12660
2025-03-26 14:27:43.165,1,Joystick #1 axis 0 -> -8727
2025-03-26 14:27:43.208,1,Joystick #1 axis 0 -> -19752
2025-03-26 14:27:43.248,1,Joystick #1 axis 0 -> -25974
2025-03-26 14:27:43.288,1,Joystick #1 axis 0 -> -29794
2025-03-26 14:27:43.328,1,Joystick #1 axis 1 -> -22636
2025-03-26 14:27:43.370,1,Joystick #1 axis 0 -> -32013
2025-03-26 14:27:43.419,1,Joystick #1 axis 1 -> -22391
2025-03-26 14:27:43.459,1,Joystick #1 axis 0 -> -31807
2025-03-26 14:27:43.499,1,Joystick #1 axis 0 -> -30526
2025-03-26 14:27:43.539,1,Joystick #1 axis 0 -> -29108
2025-03-26 14:27:43.582,1,Joystick #1 axis 0 -> -28444
2025-03-26 14:27:43.719,1,Joystick #1 axis 0 -> -28055
2025-03-26 14:27:43.760,1,Joystick #1 axis 0 -> -24212
2025-03-26 14:27:43.800,1,Joystick #1 axis 0 -> -7720
2025-03-26 14:27:43.840,1,Joystick #1 axis 0 -> 3533
2025-03-26 14:27:43.880,1,Joystick #1 axis 0 -> 9252
2025-03-26 14:27:43.920,1,Joystick #1 axis 0 -> 15199
2025-03-26 14:27:43.961,1,Joystick #1 axis 0 -> 18333
2025-03-26 14:27:44.001,1,Joystick #1 axis 0 -> 22221
2025-03-26 14:27:44.042,1,Joystick #1 axis 0 -> 24577
2025-03-26 14:27:44.082,1,Joystick #1 axis 0 -> 26682
2025-03-26 14:27:44.122,1,Joystick #1 axis 0 -> 28786
2025-03-26 14:27:44.162,1,Joystick #1 axis 0 -> 29724
2025-03-26 14:27:44.203,1,Joystick #1 axis 0 -> 29495
2025-03-26 14:27:44.243,1,Joystick #1 axis 0 -> 26568
2025-03-26 14:27:44.283,1,Joystick #1 axis 0 -> 21352
2025-03-26 14:27:44.323,1,Joystick #1 axis 0 -> 16709
2025-03-26 14:27:44.364,1,Joystick #1 axis 0 -> 13552
2025-03-26 14:27:44.404,1,Joystick #1 axis 0 -> 8840
